reviewer_initials,paperid,version,link
mfc,decastro2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,adachi2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,leighty2009,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,andrews1998,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,zhang2019b,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,aoki2021,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,benson2018,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,lescroel2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,sibbald2011,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,taylor2017,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,cerritelli2020,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,gales2012,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
mfc,kohut2014,v0.1,https://docs.google.com/spreadsheets/d/1zRA77pWp4nFZ9sjhVKXxxe0TBSg96QBC0L8XThshfQE
tac,lesmerises2018a,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
tac,santos2019b,v0.1,https://docs.google.com/spreadsheets/d/1wSzD3vzcam_RS9KnAcjemx5q12QMGcMYU2s-Tz1pbyI
